"sigla";"razao_social";"cnpj";"tipo_de_ativo";"ano";"setor_de_atividade";"total_pp";"on_pp";"pn_pp";"aberta_fechada";"acordo_de_acionistas_em_vigor";"indicado_para_conselho_de_administracao";"indicado_para_conselho_fiscal"
"COSAN LOG";"COSAN LOGÍSTICA S/A";"17.346.997/0001-39";"PARTICIPAÇÃO ACIONÁRIA";2015;"LOGÍSTICA/TRANSPORTES";"0,03";"0,03";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"COSAN LOG";"COSAN LOGÍSTICA S/A";"17.346.997/0001-39";"PARTICIPAÇÃO ACIONÁRIA";2014;"LOGÍSTICA/TRANSPORTES";"0,03";"0,03";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2022;"BENS DE CONSUMO";"6,27";"0,0";"11,49";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2021;"BENS DE CONSUMO";"6,27";"0,0";"11,49";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2020;"BENS DE CONSUMO";"6,27";"0,0";"11,49";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2019;"BENS DE CONSUMO";"6,27";"0,0";"11,49";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2018;"BENS DE CONSUMO";"6,27";"0,0";"11,49";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2017;"BENS DE CONSUMO";"6,27";"0,0";"11,49";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2016;"BENS DE CONSUMO";"6,27";"0,0";"11,49";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2015;"BENS DE CONSUMO";"6,27";"0,0";"11,49";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2014;"BENS DE CONSUMO";"6,27";"0,0";"11,49";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2013;"BENS DE CONSUMO";"6,77";"0,0";"12,4";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2012;"BENS DE CONSUMO";"10,35";"0,0";"16,5";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2011;"BENS DE CONSUMO";"10,35";"0,0";"16,5";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2010;"BENS DE CONSUMO";"10,35";"0,0";"16,5";"ABERTA";"NÃO";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2009;"BENS DE CONSUMO";"10,35";"0,0";"16,5";"ABERTA";"SIM";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2008;"BENS DE CONSUMO";"10,35";"0,0";"16,5";"ABERTA";"SIM";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2007;"BENS DE CONSUMO";"10,35";"0,0";"16,5";"ABERTA";"SIM";"NÃO";"NÃO"
"COTEMINAS";"CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS";"22.677.520/0001-76";"PARTICIPAÇÃO ACIONÁRIA";2006;"BENS DE CONSUMO";"9,93";"0,0";"15,47";"ABERTA";"SIM";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2016;"ENERGIA";"6,74";"6,74";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2015;"ENERGIA";"6,74";"6,74";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2014;"ENERGIA";"6,74";"6,74";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2013;"ENERGIA";"6,74";"6,74";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2012;"ENERGIA";"8,42";"8,42";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2011;"ENERGIA";"8,42";"8,42";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2010;"ENERGIA";"8,42";"8,42";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2009;"ENERGIA";"8,44";"8,44";"0,0";"ABERTA";"SIM";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2008;"ENERGIA";"6,21";"6,21";"0,0";"ABERTA";"SIM";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2007;"ENERGIA";"5,72";"5,72";"0,0";"ABERTA";"SIM";"NÃO";"NÃO"
"CPFL ENERGIA";"CPFL ENERGIA S.A.";"02.429.144/0001-93";"PARTICIPAÇÃO ACIONÁRIA";2006;"ENERGIA";"5,17";"5,17";"0,0";"ABERTA";"SIM";"NÃO";"NÃO"
"CRP CADERI";"CRP CADERI CAPITAL DE RISCO S.A.";"93.392.355/0001-54";"PARTICIPAÇÃO ACIONÁRIA";2014;"OUTROS SETORES";"20,2";"0,0";"36,36";"FECHADA";"SIM";"NÃO";"NÃO"
"CRP CADERI";"CRP CADERI CAPITAL DE RISCO S.A.";"93.392.355/0001-54";"PARTICIPAÇÃO ACIONÁRIA";2013;"OUTROS SETORES";"20,2";"0,0";"36,36";"FECHADA";"SIM";"NÃO";"NÃO"
"CRP CADERI";"CRP CADERI CAPITAL DE RISCO S.A.";"93.392.355/0001-54";"PARTICIPAÇÃO ACIONÁRIA";2012;"OUTROS SETORES";"20,2";"0,0";"36,36";"FECHADA";"SIM";"NÃO";"NÃO"
"CRP CADERI";"CRP CADERI CAPITAL DE RISCO S.A.";"93.392.355/0001-54";"PARTICIPAÇÃO ACIONÁRIA";2011;"OUTROS SETORES";"20,2";"0,0";"36,36";"FECHADA";"SIM";"NÃO";"NÃO"
"CRP CADERI";"CRP CADERI CAPITAL DE RISCO S.A.";"93.392.355/0001-54";"PARTICIPAÇÃO ACIONÁRIA";2010;"OUTROS SETORES";"20,2";"0,0";"36,36";"FECHADA";"SIM";"NÃO";"NÃO"
"CRP CADERI";"CRP CADERI CAPITAL DE RISCO S.A.";"93.392.355/0001-54";"PARTICIPAÇÃO ACIONÁRIA";2009;"OUTROS SETORES";"20,2";"0,0";"36,36";"FECHADA";"SIM";"NÃO";"NÃO"
"CRP CADERI";"CRP CADERI CAPITAL DE RISCO S.A.";"93.392.355/0001-54";"PARTICIPAÇÃO ACIONÁRIA";2008;"OUTROS SETORES";"20,2";"0,0";"36,36";"FECHADA";"SIM";"NÃO";"NÃO"
"CRP CADERI";"CRP CADERI CAPITAL DE RISCO S.A.";"93.392.355/0001-54";"PARTICIPAÇÃO ACIONÁRIA";2007;"OUTROS SETORES";"20,2";"0,0";"36,36";"FECHADA";"SIM";"NÃO";"NÃO"
"CRP CADERI";"CRP CADERI CAPITAL DE RISCO S.A.";"93.392.355/0001-54";"PARTICIPAÇÃO ACIONÁRIA";2006;"OUTROS SETORES";"20,2";"0,0";"36,36";"FECHADA";"SIM";"NÃO";"NÃO"
"CRSEC";"COMPANHIA DE RECUPERAÇÃO SECUNDÁRIA";"04.652.792/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2012;"PETRÓLEO E GÁS";"30,0";"30,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CRSEC";"COMPANHIA DE RECUPERAÇÃO SECUNDÁRIA";"04.652.792/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2011;"PETRÓLEO E GÁS";"30,0";"30,0";"0,0";"ABERTA";"NÃO";"SIM";"NÃO"
"CRSEC";"COMPANHIA DE RECUPERAÇÃO SECUNDÁRIA";"04.652.792/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2010;"PETRÓLEO E GÁS";"30,0";"30,0";"0,0";"ABERTA";"NÃO";"SIM";"NÃO"
"CRSEC";"COMPANHIA DE RECUPERAÇÃO SECUNDÁRIA";"04.652.792/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2009;"PETRÓLEO E GÁS";"30,0";"30,0";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CRSEC";"COMPANHIA DE RECUPERAÇÃO SECUNDÁRIA";"04.652.792/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2008;"PETRÓLEO E GÁS";"30,0";"30,0";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CRSEC";"COMPANHIA DE RECUPERAÇÃO SECUNDÁRIA";"04.652.792/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2007;"PETRÓLEO E GÁS";"30,0";"30,0";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CRSEC";"COMPANHIA DE RECUPERAÇÃO SECUNDÁRIA";"04.652.792/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2006;"PETRÓLEO E GÁS";"30,0";"30,0";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2022;"SIDERURGIA/METALURGIA";"0,63";"0,63";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2021;"SIDERURGIA/METALURGIA";"0,63";"0,63";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2020;"SIDERURGIA/METALURGIA";"0,63";"0,63";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2019;"SIDERURGIA/METALURGIA";"0,63";"0,63";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2018;"SIDERURGIA/METALURGIA";"0,63";"0,63";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2017;"SIDERURGIA/METALURGIA";"0,63";"0,63";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2016;"SIDERURGIA/METALURGIA";"0,63";"0,63";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2015;"SIDERURGIA/METALURGIA";"0,63";"0,63";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2014;"SIDERURGIA/METALURGIA";"0,63";"0,63";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2013;"SIDERURGIA/METALURGIA";"0,6";"0,6";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2012;"SIDERURGIA/METALURGIA";"1,89";"1,89";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2011;"SIDERURGIA/METALURGIA";"2,18";"2,18";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2010;"SIDERURGIA/METALURGIA";"2,14";"2,14";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2009;"SIDERURGIA/METALURGIA";"2,55";"2,55";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2008;"SIDERURGIA/METALURGIA";"3,64";"3,64";"0,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2007;"SIDERURGIA/METALURGIA";"6,28";"6,28";"0,0";"ABERTA";"SIM";"NÃO";"NÃO"
"CSN";"COMPANHIA SIDERÚRGICA NACIONAL";"33.042.730/0001-04";"PARTICIPAÇÃO ACIONÁRIA";2006;"SIDERURGIA/METALURGIA";"6,28";"6,28";"0,0";"ABERTA";"SIM";"NÃO";"NÃO"
"CTC";"CTC CENTRO DE TECNOLOGIA CANAVIEIRA S/A";"06.981.381/0001-13";"PARTICIPAÇÃO ACIONÁRIA";2022;"SUCROALCOOLEIRO";"18,99";"18,99";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CTC";"CTC CENTRO DE TECNOLOGIA CANAVIEIRA S/A";"06.981.381/0001-13";"PARTICIPAÇÃO ACIONÁRIA";2021;"SUCROALCOOLEIRO";"18,99";"18,99";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CTC";"CTC CENTRO DE TECNOLOGIA CANAVIEIRA S/A";"06.981.381/0001-13";"PARTICIPAÇÃO ACIONÁRIA";2020;"SUCROALCOOLEIRO";"18,99";"18,99";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CTC";"CTC CENTRO DE TECNOLOGIA CANAVIEIRA S/A";"06.981.381/0001-13";"PARTICIPAÇÃO ACIONÁRIA";2019;"SUCROALCOOLEIRO";"18,99";"18,99";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CTC";"CTC CENTRO DE TECNOLOGIA CANAVIEIRA S/A";"06.981.381/0001-13";"PARTICIPAÇÃO ACIONÁRIA";2018;"SUCROALCOOLEIRO";"18,99";"18,99";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CTC";"CTC CENTRO DE TECNOLOGIA CANAVIEIRA S/A";"06.981.381/0001-13";"PARTICIPAÇÃO ACIONÁRIA";2017;"SUCROALCOOLEIRO";"15,03";"15,03";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CTC";"CTC CENTRO DE TECNOLOGIA CANAVIEIRA S/A";"06.981.381/0001-13";"PARTICIPAÇÃO ACIONÁRIA";2016;"SUCROALCOOLEIRO";"15,03";"15,03";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"CTC";"CTC CENTRO DE TECNOLOGIA CANAVIEIRA S/A";"06.981.381/0001-13";"PARTICIPAÇÃO ACIONÁRIA";2015;"SUCROALCOOLEIRO";"10,6";"10,6";"0,0";"FECHADA";"SIM";"SIM";"NÃO"
"CTC";"CTC CENTRO DE TECNOLOGIA CANAVIEIRA S/A";"06.981.381/0001-13";"PARTICIPAÇÃO ACIONÁRIA";2014;"SUCROALCOOLEIRO";"10,6";"10,6";"0,0";"FECHADA";"SIM";"SIM";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2022;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2021;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2020;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2019;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2018;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2017;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2016;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2015;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2014;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2013;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2012;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2011;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2010;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2009;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2008;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2007;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTC/RJ";"CIA. DE TRANSPORTES COLETIVOS DO RIO DE JANEIRO - CTC";"33.009.663/0001-26";"PARTICIPAÇÃO ACIONÁRIA";2006;"LOGÍSTICA/TRANSPORTES";"1,39";"1,39";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2022;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2021;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2020;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2019;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2018;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2017;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2016;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2015;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2014;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2013;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2012;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2011;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2010;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
"CTTU/RECIFE";"CIA. DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU";"10.846.103/0001-20";"PARTICIPAÇÃO ACIONÁRIA";2009;"LOGÍSTICA/TRANSPORTES";"11,9";"4,73";"38,85";"FECHADA";"NÃO";"NÃO";"NÃO"
